video_id,num_frames,fps,pose_detected_frames,pose_detection_rate,left_hand_detected_frames,left_hand_detection_rate,right_hand_detected_frames,right_hand_detection_rate,face_detected_frames,face_detection_rate,left_hand_missing_frames,right_hand_missing_frames,left_hand_short_gap_count,right_hand_short_gap_count,left_hand_imputed_frames,right_hand_imputed_frames,left_hand_unresolved_frames,right_hand_unresolved_frames,normalization_invalid_frames,extraction_success,error_message
00335,58,25.0,58,1.0,24,0.413793,0,0.0,58,1.0,34,58,0,0,0,0,34,58,,True,skipped_existing
00336,65,30.004615783691406,64,0.984615,54,0.830769,0,0.0,64,0.984615,11,65,0,0,0,0,11,65,1,True,skipped_existing
00338,71,29.969999313354492,71,1.0,71,1.0,0,0.0,71,1.0,0,71,0,0,0,0,0,71,0,True,skipped_existing
00339,60,29.969999313354492,60,1.0,60,1.0,0,0.0,60,1.0,0,60,0,0,0,0,0,60,0,True,skipped_existing
00341,84,30.331449508666992,83,0.988095,42,0.5,0,0.0,83,0.988095,42,84,0,0,0,0,42,84,1,True,skipped_existing
00376,56,25.0,56,1.0,22,0.392857,25,0.446429,56,1.0,34,31,2,1,3,1,31,30,0,True,skipped_existing
00377,89,30.00337028503418,88,0.988764,37,0.41573,37,0.41573,88,0.988764,52,52,2,1,3,1,49,51,1,True,skipped_existing
00381,36,29.969999313354492,36,1.0,34,0.944444,32,0.888889,36,1.0,2,4,2,3,2,4,0,0,0,True,skipped_existing
00382,44,29.969999313354492,44,1.0,44,1.0,44,1.0,44,1.0,0,0,0,0,0,0,0,0,0,True,
00384,85,30.327146530151367,84,0.988235,30,0.352941,34,0.4,84,0.988235,55,51,1,1,1,2,54,49,1,True,
00414,105,50.0,105,1.0,72,0.685714,72,0.685714,105,1.0,33,33,0,0,0,0,33,33,0,True,
00415,38,23.97610855102539,38,1.0,23,0.605263,25,0.657895,38,1.0,15,13,0,0,0,0,15,13,0,True,
00416,116,30.002586364746094,115,0.991379,61,0.525862,69,0.594828,115,0.991379,55,47,2,1,3,1,52,46,1,True,
00421,33,29.969999313354492,33,1.0,33,1.0,33,1.0,33,1.0,0,0,0,0,0,0,0,0,0,True,
00426,98,30.279281616210938,97,0.989796,49,0.5,43,0.438776,97,0.989796,49,55,1,1,1,2,48,53,1,True,
00430,52,29.970029830932617,52,1.0,49,0.942308,35,0.673077,52,1.0,3,17,2,1,3,2,0,15,0,True,
00431,122,30.002458572387695,121,0.991803,61,0.5,75,0.614754,121,0.991803,61,47,0,1,0,1,61,46,1,True,
00433,79,29.969999313354492,79,1.0,76,0.962025,79,1.0,79,1.0,3,0,2,0,3,0,0,0,0,True,
00435,103,30.26412010192871,102,0.990291,39,0.378641,46,0.446602,102,0.990291,64,57,4,1,4,1,60,56,1,True,
00583,38,29.970029830932617,38,1.0,24,0.631579,1,0.026316,38,1.0,14,37,0,0,0,0,14,37,0,True,
00584,42,29.970029830932617,42,1.0,32,0.761905,1,0.02381,42,1.0,10,41,0,0,0,0,10,41,0,True,
00585,38,29.970029830932617,38,1.0,28,0.736842,0,0.0,38,1.0,10,38,0,0,0,0,10,38,0,True,
00586,39,29.970029830932617,39,1.0,25,0.641026,0,0.0,39,1.0,14,39,0,0,0,0,14,39,0,True,
00592,125,25.0,125,1.0,72,0.576,61,0.488,125,1.0,53,64,3,2,3,2,50,62,0,True,
00593,28,23.976024627685547,28,1.0,15,0.535714,19,0.678571,28,1.0,13,9,3,2,3,2,10,7,0,True,
00594,36,29.970029830932617,36,1.0,24,0.666667,25,0.694444,36,1.0,12,11,3,1,4,2,8,9,0,True,
00597,128,30.002344131469727,127,0.992188,74,0.578125,77,0.601562,127,0.992188,54,51,0,0,0,0,54,51,1,True,
