sample_idx,video_id,gloss,label,split
0,00623,accident,51,train
1,00624,accident,51,train
2,00628,accident,51,train
3,00629,accident,51,train
4,00631,accident,51,train
5,00632,accident,51,train
6,00633,accident,51,train
7,00639,accident,51,train
8,01383,africa,76,train
9,01384,africa,76,train
10,01385,africa,76,train
11,01387,africa,76,train
12,01388,africa,76,train
13,01987,all,18,train
14,01988,all,18,train
15,01991,all,18,train
16,01992,all,18,train
17,02003,all,18,train
18,03000,apple,52,train
19,03001,apple,52,train
20,03002,apple,52,train
21,03003,apple,52,train
22,03005,apple,52,train
23,03008,apple,52,train
24,05229,basketball,77,train
25,05230,basketball,77,train
26,05231,basketball,77,train
27,05233,basketball,77,train
28,05234,basketball,77,train
29,05238,basketball,77,train
30,05243,basketball,77,train
31,05629,bed,32,train
32,05630,bed,32,train
33,05631,bed,32,train
34,05632,bed,32,train
35,05633,bed,32,train
36,05634,bed,32,train
37,05636,bed,32,train
38,05637,bed,32,train
39,05638,bed,32,train
40,05644,bed,32,train
41,05728,before,3,train
42,05729,before,3,train
43,05730,before,3,train
44,05731,before,3,train
45,05732,before,3,train
46,05733,before,3,train
47,05734,before,3,train
48,05740,before,3,train
49,05742,before,3,train
50,05743,before,3,train
51,05749,before,3,train
52,06331,bird,53,train
53,06332,bird,53,train
54,06333,bird,53,train
55,06334,bird,53,train
56,06337,bird,53,train
57,06343,bird,53,train
58,06359,birthday,78,train
59,06363,birthday,78,train
60,06365,birthday,78,train
61,06371,birthday,78,train
62,06471,black,19,train
63,06472,black,19,train
64,06473,black,19,train
65,06474,black,19,train
66,06477,black,19,train
67,06478,black,19,train
68,06486,black,19,train
69,06832,blue,33,train
70,06833,blue,33,train
71,06834,blue,33,train
72,06835,blue,33,train
73,06839,blue,33,train
74,07068,book,0,train
75,07069,book,0,train
76,07070,book,0,train
77,07074,book,0,train
78,07389,bowling,34,train
79,07390,bowling,34,train
80,07391,bowling,34,train
81,07392,bowling,34,train
82,07393,bowling,34,train
83,07394,bowling,34,train
84,07397,bowling,34,train
85,07399,bowling,34,train
86,07960,brown,79,train
87,07961,brown,79,train
88,07962,brown,79,train
89,07963,brown,79,train
90,07966,brown,79,train
91,08424,but,80,train
92,08431,but,80,train
93,08437,but,80,train
94,08916,candy,8,train
95,08917,candy,8,train
96,08919,candy,8,train
97,08920,candy,8,train
98,08921,candy,8,train
99,08924,candy,8,train
100,08935,can,35,train
101,08936,can,35,train
102,08937,can,35,train
103,08938,can,35,train
104,08942,can,35,train
105,08944,can,35,train
106,08955,can,35,train
107,09848,chair,4,train
108,09849,chair,4,train
109,09850,chair,4,train
110,09869,chair,4,train
111,09949,change,54,train
112,09953,change,54,train
113,09954,change,54,train
114,09956,change,54,train
115,09960,change,54,train
116,09963,change,54,train
117,09966,change,54,train
118,09967,change,54,train
119,09970,change,54,train
120,10147,cheat,81,train
121,10148,cheat,81,train
122,10149,cheat,81,train
123,10157,cheat,81,train
124,10158,cheat,81,train
125,10166,cheat,81,train
126,10892,city,82,train
127,10893,city,82,train
128,10894,city,82,train
129,10895,city,82,train
130,11309,clothes,6,train
131,11310,clothes,6,train
132,11313,clothes,6,train
133,11330,clothes,6,train
134,11767,color,55,train
135,11768,color,55,train
136,11769,color,55,train
137,11770,color,55,train
138,11773,color,55,train
139,11780,color,55,train
140,12311,computer,2,train
141,12313,computer,2,train
142,12314,computer,2,train
143,12316,computer,2,train
144,12317,computer,2,train
145,12318,computer,2,train
146,12319,computer,2,train
147,12327,computer,2,train
148,12328,computer,2,train
149,12338,computer,2,train
150,13156,cook,83,train
151,13157,cook,83,train
152,13158,cook,83,train
153,13160,cook,83,train
154,13161,cook,83,train
155,13167,cook,83,train
156,13168,cook,83,train
157,13199,cool,20,train
158,13200,cool,20,train
159,13201,cool,20,train
160,13202,cool,20,train
161,13208,cool,20,train
162,13209,cool,20,train
163,13213,cool,20,train
164,13216,cool,20,train
165,13217,cool,20,train
166,13323,corn,56,train
167,13326,corn,56,train
168,13327,corn,56,train
169,13328,corn,56,train
170,13329,corn,56,train
171,13333,corn,56,train
172,13337,corn,56,train
173,13630,cousin,9,train
174,13631,cousin,9,train
175,13632,cousin,9,train
176,13636,cousin,9,train
177,13640,cousin,9,train
178,13642,cousin,9,train
179,13646,cousin,9,train
180,13647,cousin,9,train
181,13648,cousin,9,train
182,13695,cow,57,train
183,13697,cow,57,train
184,13699,cow,57,train
185,13702,cow,57,train
186,14622,dance,58,train
187,14623,dance,58,train
188,14624,dance,58,train
189,14625,dance,58,train
190,14627,dance,58,train
191,14633,dance,58,train
192,14671,dark,59,train
193,14674,dark,59,train
194,14675,dark,59,train
195,14676,dark,59,train
196,14680,dark,59,train
197,14681,dark,59,train
198,14882,deaf,10,train
199,14884,deaf,10,train
200,14885,deaf,10,train
201,14886,deaf,10,train
202,14893,deaf,10,train
203,14894,deaf,10,train
204,15032,decide,84,train
205,15033,decide,84,train
206,15034,decide,84,train
207,15035,decide,84,train
208,15038,decide,84,train
209,17013,doctor,60,train
210,17014,doctor,60,train
211,17015,doctor,60,train
212,17017,doctor,60,train
213,17019,doctor,60,train
214,17026,doctor,60,train
215,17084,dog,36,train
216,17085,dog,36,train
217,17086,dog,36,train
218,17087,dog,36,train
219,17090,dog,36,train
220,17091,dog,36,train
221,17709,drink,1,train
222,17710,drink,1,train
223,17711,drink,1,train
224,17712,drink,1,train
225,17720,drink,1,train
226,17721,drink,1,train
227,17722,drink,1,train
228,17723,drink,1,train
229,17733,drink,1,train
230,18324,eat,61,train
231,18325,eat,61,train
232,18329,eat,61,train
233,18335,eat,61,train
234,19258,enjoy,62,train
235,19259,enjoy,62,train
236,19260,enjoy,62,train
237,19261,enjoy,62,train
238,19264,enjoy,62,train
239,19269,enjoy,62,train
240,20978,family,37,train
241,20979,family,37,train
242,20980,family,37,train
243,20981,family,37,train
244,20982,family,37,train
245,20983,family,37,train
246,20986,family,37,train
247,20987,family,37,train
248,20992,family,37,train
249,21869,fine,11,train
250,21870,fine,11,train
251,21871,fine,11,train
252,21878,fine,11,train
253,21883,fine,11,train
254,21891,fine,11,train
255,21941,finish,21,train
256,21943,finish,21,train
257,21945,finish,21,train
258,21950,finish,21,train
259,21951,finish,21,train
260,22115,fish,38,train
261,22116,fish,38,train
262,22120,fish,38,train
263,22121,fish,38,train
264,22130,fish,38,train
265,22952,forget,63,train
266,22953,forget,63,train
267,22955,forget,63,train
268,22960,forget,63,train
269,22967,forget,63,train
270,23766,full,85,train
271,23768,full,85,train
272,23769,full,85,train
273,23771,full,85,train
274,23774,full,85,train
275,23782,full,85,train
276,24638,give,64,train
277,24640,give,64,train
278,24648,give,64,train
279,24651,give,64,train
280,24660,give,64,train
281,24940,go,5,train
282,24941,go,5,train
283,24943,go,5,train
284,24947,go,5,train
285,24954,go,5,train
286,24955,go,5,train
287,24956,go,5,train
288,24961,go,5,train
289,24962,go,5,train
290,24973,go,5,train
291,25321,graduate,39,train
292,25322,graduate,39,train
293,25323,graduate,39,train
294,25324,graduate,39,train
295,25325,graduate,39,train
296,25326,graduate,39,train
297,25329,graduate,39,train
298,25339,graduate,39,train
299,26712,hat,40,train
300,26713,hat,40,train
301,26714,hat,40,train
302,26715,hat,40,train
303,26717,hat,40,train
304,26719,hat,40,train
305,26739,hat,40,train
306,26741,hat,40,train
307,26971,hearing,41,train
308,26972,hearing,41,train
309,26973,hearing,41,train
310,26974,hearing,41,train
311,26975,hearing,41,train
312,26976,hearing,41,train
313,26980,hearing,41,train
314,27206,help,12,train
315,27207,help,12,train
316,27208,help,12,train
317,27214,help,12,train
318,27215,help,12,train
319,27216,help,12,train
320,27217,help,12,train
321,27221,help,12,train
322,28107,hot,22,train
323,28108,hot,22,train
324,28109,hot,22,train
325,28110,hot,22,train
326,28111,hot,22,train
327,28115,hot,22,train
328,28116,hot,22,train
329,28125,hot,22,train
330,28202,how,86,train
331,28204,how,86,train
332,28205,how,86,train
333,28210,how,86,train
334,28211,how,86,train
335,28214,how,86,train
336,30831,jacket,87,train
337,30832,jacket,87,train
338,30834,jacket,87,train
339,30835,jacket,87,train
340,30840,jacket,87,train
341,31752,kiss,42,train
342,31753,kiss,42,train
343,31755,kiss,42,train
344,31756,kiss,42,train
345,31767,kiss,42,train
346,32155,language,43,train
347,32158,language,43,train
348,32160,language,43,train
349,32163,language,43,train
350,32248,last,65,train
351,32249,last,65,train
352,32250,last,65,train
353,32254,last,65,train
354,32257,last,65,train
355,32260,last,65,train
356,32261,last,65,train
357,32321,later,44,train
358,32322,later,44,train
359,32324,later,44,train
360,32326,later,44,train
361,32333,later,44,train
362,32337,later,44,train
363,32338,later,44,train
364,32945,letter,88,train
365,32946,letter,88,train
366,32947,letter,88,train
367,32949,letter,88,train
368,32953,letter,88,train
369,32954,letter,88,train
370,32955,letter,88,train
371,32959,letter,88,train
372,33266,like,23,train
373,33267,like,23,train
374,33269,like,23,train
375,33273,like,23,train
376,33274,like,23,train
377,33285,like,23,train
378,34732,man,45,train
379,34733,man,45,train
380,34734,man,45,train
381,34736,man,45,train
382,34737,man,45,train
383,34738,man,45,train
384,34742,man,45,train
385,34746,man,45,train
386,34823,many,24,train
387,34824,many,24,train
388,34825,many,24,train
389,34826,many,24,train
390,34827,many,24,train
391,34830,many,24,train
392,34831,many,24,train
393,34832,many,24,train
394,34839,many,24,train
395,35452,medicine,89,train
396,35453,medicine,89,train
397,35454,medicine,89,train
398,35455,medicine,89,train
399,35456,medicine,89,train
400,35458,medicine,89,train
401,35467,medicine,89,train
402,35509,meet,66,train
403,35511,meet,66,train
404,35512,meet,66,train
405,35516,meet,66,train
406,35517,meet,66,train
407,35518,meet,66,train
408,35523,meet,66,train
409,36929,mother,25,train
