video_id,gloss,label,split
00414,about,180,train
00415,about,180,train
00416,about,180,train
00426,about,180,train
00623,accident,51,train
00624,accident,51,train
00628,accident,51,train
00629,accident,51,train
00631,accident,51,train
00632,accident,51,train
00633,accident,51,train
00639,accident,51,train
01383,africa,76,train
01384,africa,76,train
01385,africa,76,train
01387,africa,76,train
01388,africa,76,train
01460,again,139,train
01461,again,139,train
01463,again,139,train
01464,again,139,train
01466,again,139,train
01471,again,139,train
01987,all,18,train
01988,all,18,train
01991,all,18,train
01992,all,18,train
02003,all,18,train
02228,always,256,train
02233,always,256,train
02238,always,256,train
02583,animal,257,train
02584,animal,257,train
02589,animal,257,train
02592,animal,257,train
03000,apple,52,train
03001,apple,52,train
03002,apple,52,train
03003,apple,52,train
03005,apple,52,train
03008,apple,52,train
03118,approve,181,train
03119,approve,181,train
03121,approve,181,train
03122,approve,181,train
03124,approve,181,train
03131,approve,181,train
03267,argue,258,train
03268,argue,258,train
03270,argue,258,train
03273,argue,258,train
03274,argue,258,train
03277,argue,258,train
03282,argue,258,train
03437,arrive,182,train
03438,arrive,182,train
03439,arrive,182,train
04505,baby,259,train
04506,baby,259,train
04511,baby,259,train
04514,baby,259,train
04592,back,260,train
04604,back,260,train
04616,backpack,105,train
04618,backpack,105,train
04619,backpack,105,train
04624,backpack,105,train
04631,backpack,105,train
04708,bad,140,train
04709,bad,140,train
04712,bad,140,train
04713,bad,140,train
04718,bad,140,train
04723,bad,140,train
04768,bake,261,train
04772,bake,261,train
04775,bake,261,train
04795,balance,183,train
04797,balance,183,train
04798,balance,183,train
04799,balance,183,train
04801,balance,183,train
04803,balance,183,train
04849,ball,141,train
04850,ball,141,train
04851,ball,141,train
04852,ball,141,train
04854,ball,141,train
04864,ball,141,train
04897,banana,184,train
04898,banana,184,train
04899,banana,184,train
04900,banana,184,train
04903,banana,184,train
05087,bar,106,train
05090,bar,106,train
05095,bar,106,train
05097,bar,106,train
05098,bar,106,train
05103,bar,106,train
05229,basketball,77,train
05230,basketball,77,train
05231,basketball,77,train
05233,basketball,77,train
05234,basketball,77,train
05238,basketball,77,train
05243,basketball,77,train
05275,bath,262,train
05280,bath,262,train
05285,bath,262,train
05297,bathroom,142,train
05298,bathroom,142,train
05300,bathroom,142,train
05310,bathroom,142,train
05467,beard,185,train
05468,beard,185,train
05470,beard,185,train
05472,beard,185,train
05473,beard,185,train
05479,beard,185,train
05596,because,186,train
05598,because,186,train
05599,because,186,train
05601,because,186,train
05609,because,186,train
05629,bed,32,train
05630,bed,32,train
05631,bed,32,train
05632,bed,32,train
05633,bed,32,train
05634,bed,32,train
05636,bed,32,train
05637,bed,32,train
05638,bed,32,train
05644,bed,32,train
05728,before,3,train
05729,before,3,train
05730,before,3,train
05731,before,3,train
05732,before,3,train
05733,before,3,train
05734,before,3,train
05740,before,3,train
05742,before,3,train
05743,before,3,train
05749,before,3,train
05803,behind,263,train
05804,behind,263,train
05816,behind,263,train
06331,bird,53,train
06332,bird,53,train
06333,bird,53,train
06334,bird,53,train
06337,bird,53,train
06343,bird,53,train
06359,birthday,78,train
06363,birthday,78,train
06365,birthday,78,train
06371,birthday,78,train
06471,black,19,train
06472,black,19,train
06473,black,19,train
06474,black,19,train
06477,black,19,train
06478,black,19,train
06486,black,19,train
06551,blanket,143,train
06552,blanket,143,train
06554,blanket,143,train
06555,blanket,143,train
06559,blanket,143,train
06563,blanket,143,train
06832,blue,33,train
06833,blue,33,train
06834,blue,33,train
06835,blue,33,train
06839,blue,33,train
07068,book,0,train
07069,book,0,train
07070,book,0,train
07074,book,0,train
07389,bowling,34,train
07390,bowling,34,train
07391,bowling,34,train
07392,bowling,34,train
07393,bowling,34,train
07394,bowling,34,train
07397,bowling,34,train
07399,bowling,34,train
07452,boy,187,train
07455,boy,187,train
07458,boy,187,train
07806,bring,264,train
07807,bring,264,train
07808,bring,264,train
07815,bring,264,train
07932,brother,107,train
07933,brother,107,train
07934,brother,107,train
07935,brother,107,train
07936,brother,107,train
07937,brother,107,train
07940,brother,107,train
07943,brother,107,train
07960,brown,79,train
07961,brown,79,train
07962,brown,79,train
07963,brown,79,train
07966,brown,79,train
08368,business,188,train
08369,business,188,train
08370,business,188,train
08372,business,188,train
08424,but,80,train
08431,but,80,train
08437,but,80,train
08482,buy,144,train
08483,buy,144,train
08485,buy,144,train
08486,buy,144,train
08488,buy,144,train
08492,buy,144,train
08689,call,145,train
08690,call,145,train
08691,call,145,train
08692,call,145,train
08702,call,145,train
08713,call,145,train
08916,candy,8,train
